general_id	dating_typology_start	dating_typology_end	find_area	typology_class_1	typology_class_2	typology_class_3	typology_class_4	orientation
OLY80 - Br10533	-749	-650	Temple of Hera	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY80 - Br10301	-809	-700	Temple of Hera	Waffe	Helmet	Kammhelm	A	(Missing)
OLY37 - B51	-749	-650	Stadium (North)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY60 - B4714	-749	-650	Stadium (North)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY60 - B4557	-749	-650	Stadium (North)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B1677	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B1678	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY79 - Br5596	-749	-650	Temple of Zeus	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B2004	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY77 - B9781	-749	-650	Echo Stoa	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B3340	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY59 - Br0701	-749	-650	Stadium	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY59 - B4219	-749	-650	Stadium (North)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY59 - B4459	-749	-650	Stadium (North)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY69 - B6095	-749	-650	South-East Area	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY75 - B9560	-749	-650	Echo Stoa	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY58 - B4057	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY78 - Br2722	-749	-650	Stadium (West)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY38 - B303	-749	-650	Echo Stoa	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY38 - B901	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY52 - B3308	-749	-650	Stadium (West)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B3339	-749	-650	South-East Area	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B1947	-749	-650	South-East Area	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY - M386	-749	-650	Alpheios	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY79 - Br6244	-749	-650	Metroon	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY60 - B4531	-749	-650	Stadium	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B2254	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY40 - B2277	-749	-650	Alpheios	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY39 - B1514	-749	-650	Stadium (South)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY38 - B851	-749	-650	Stadium (West)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY37 - B52	-749	-650	Stadium (North)	Waffe	Helmet	Kegelhelm	B	(Missing)
OLY39 - B903	-709	-625	Stadium (West)	Waffe	Helmet	Illyrischer Helm	C Stufe  Ia	(Missing)
OLY60 - B4651	-709	-625	Stadium (North)	Waffe	Helmet	Illyrischer Helm	C Stufe  Ia	(Missing)
